iter	Passed	Remaining
574	45480	33616
575	45564	33540
576	45662	33475
577	45762	33411
578	45780	33287
579	45864	33212
580	45963	33147
581	46064	33083
582	46164	33019
583	46261	32953
584	46267	32822
585	46459	32822
586	46469	32694
587	46568	32629
588	46667	32564
589	46862	32565
590	46963	32500
591	47061	32434
592	47067	32304
593	47163	32236
594	47361	32237
595	47461	32172
596	47479	32050
597	47564	31974
598	47661	31906
599	47763	31842
600	47866	31778
601	47965	31711
602	48163	31709
603	48265	31644
604	48361	31574
605	48379	31454
606	48464	31377
607	48562	31309
608	48579	31189
609	48662	31112
610	48763	31045
611	48861	30977
612	48961	30910
613	49060	30842
614	49066	30716
615	49162	30646
616	49262	30579
617	49360	30511
618	49458	30442
619	49465	30317
620	49562	30248
621	49660	30179
622	49758	30110
623	49765	29986
624	49861	29917
625	49960	29848
626	49966	29725
627	50061	29654
628	50161	29586
629	50178	29469
630	50261	29392
631	50360	29324
632	50459	29255
633	50465	29133
634	50560	29062
635	50660	28994
636	50677	28879
637	50761	28801
638	50860	28733
639	50959	28664
640	50965	28543
641	51061	28473
642	51160	28404
643	51259	28335
644	51359	28267
645	51459	28198
646	51476	28085
647	51561	28008
648	51660	27939
649	51758	27870
650	51764	27750
651	51876	27688
652	51961	27611
653	52060	27542
654	52157	27472
655	52258	27403
656	52263	27285
657	52359	27214
658	52458	27144
659	52464	27026
660	52561	26956
661	52660	26886
662	52759	26817
663	52857	26747
664	52863	26630
665	52959	26559
666	53159	26539
667	53258	26469
668	53264	26353
669	53359	26281
670	53457	26211
671	53463	26095
672	53559	26023
673	53659	25954
674	53757	25883
675	53856	25812
676	53862	25698
677	54055	25672
678	54061	25557
679	54158	25486
680	54257	25415
681	54357	25345
682	54362	25231
683	54458	25159
684	54559	25089
685	54657	25018
686	54663	24905
687	54758	24832
688	54857	24761
689	54958	24691
690	55056	24619
691	55062	24507
692	55158	24435
693	55257	24364
694	55358	24293
695	55456	24222
696	55556	24151
697	55562	24039
698	55658	23967
699	55757	23896
700	55857	23825
701	55956	23753
702	55961	23642
703	56155	23610
704	56162	23500
705	56257	23427
706	56356	23355
707	56361	23245
708	56457	23172
709	56555	23100
710	56561	22990
711	56657	22917
712	56756	22845
713	56774	22741
714	56858	22663
715	56956	22591
716	57055	22519
717	57061	22411
718	57156	22338
719	57254	22265
720	57260	22157
721	57356	22084
722	57458	22013
723	57555	21940
724	57561	21833
725	57657	21760
726	57756	21688
727	57855	21616
728	57954	21544
729	57960	21437
730	58058	21364
731	58155	21292
732	58254	21219
733	58260	21113
734	58356	21040
735	58455	20967
736	58555	20895
737	58653	20822
738	58659	20717
739	58755	20643
740	58854	20571
741	58872	20470
742	58956	20392
743	59055	20320
744	59154	20247
745	59253	20174
746	59259	20070
747	59355	19996
748	59454	19924
749	59553	19851
750	59653	19778
751	59659	19674
752	59755	19601
753	59854	19528
754	59951	19454
755	59957	19351
756	60055	19277
757	60153	19204
758	60253	19131
759	60259	19029
760	60354	18955
761	60453	18881
762	60459	18779
763	60555	18705
764	60655	18632
765	60757	18560
766	60865	18489
767	60955	18413
768	61054	18340
769	61154	18266
770	61252	18193
771	61352	18119
772	61358	18018
773	61454	17944
774	61554	17870
775	61653	17796
776	61752	17723
777	61758	17622
778	61854	17547
779	61951	17473
780	61957	17373
781	62053	17298
782	62152	17224
783	62251	17151
784	62257	17051
785	62353	16976
786	62452	16902
787	62552	16828
788	62565	16731
789	62655	16655
790	62752	16580
791	62851	16506
792	62857	16407
793	62954	16333
794	63056	16259
795	63153	16184
796	63353	16136
797	63452	16061
798	63551	15987
799	63650	15912
800	63656	15814
801	63752	15739
802	63852	15664
803	63952	15590
804	64050	15515
805	64063	15419
806	64153	15342
807	64251	15267
808	64350	15192
809	64450	15117
810	64455	15021
811	64551	14945
812	64650	14870
813	64749	14795
814	64755	14699
815	64851	14623
816	64952	14548
817	65051	14473
818	65150	14398
819	65249	14323
820	65255	14227
821	65351	14151
822	65449	14075
823	65550	14000
824	65568	13908
825	65651	13829
826	65668	13737
827	65752	13658
828	65851	13583
829	65950	13507
830	66049	13432
831	66054	13337
832	66150	13261
833	66249	13186
834	66349	13110
835	66354	13016
836	66450	12940
837	66549	12865
838	66646	12789
839	66653	12695
840	66751	12619
841	66849	12544
842	66948	12468
843	67052	12393
844	67150	12317
845	67249	12241
846	67348	12165
847	67353	12072
848	67450	11996
849	67647	11937
850	67653	11845
851	67750	11768
852	67850	11692
853	67950	11616
854	68047	11540
855	68053	11448
856	68149	11371
857	68249	11295
858	68348	11218
859	68447	11142
860	68453	11051
861	68549	10974
862	68650	10898
863	68748	10821
864	68847	10744
865	68853	10654
866	68949	10577
867	69048	10500
868	69147	10423
869	69246	10347
870	69252	10256
871	69348	10179
872	69448	10102
873	69546	10026
874	69552	9936
875	69744	9872
876	69750	9782
877	69848	9705
878	69946	9628
879	70046	9551
880	70051	9462
881	70148	9384
882	70246	9307
883	70346	9230
884	70352	9141
885	70448	9064
886	70547	8987
887	70646	8910
888	70651	8821
889	70747	8744
890	70844	8666
891	70850	8578
892	70946	8500
893	71046	8423
894	71051	8335
895	71156	8259
896	71249	8181
897	71347	8104
898	71447	8026
899	71543	7949
900	71549	7861
901	71647	7784
902	71746	7706
903	71844	7629
904	71850	7542
905	71946	7464
906	72045	7387
907	72051	7300
